Name,Type,,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
Skilled Labor Cost,fixed opex,lin,2022 $/hr,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85
Unskilled Labor Cost,fixed opex,lin,2022 $/hr,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Raw Water,feedstock,lin,2022 $/t H2O,0.441167535,0.441167535,0.441167535,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289,0.59289
Lime,var opex,lin,2022 $/t lime,100,100,100,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1
Carbon,var opex,lin,2022 $/t C,179.47,179.47,179.47,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97,236.97
Slag Disposal,var opex,lin,2022 $/t slag,28,28,28,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63
Iron Ore Pellets,var opex,lin,2022 $/t ore,207.66,207.66,207.66,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35,207.35
Hydrogen ,var opex,lin,2022 $/t H2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Natural Gas,var opex,lin,2022 $/MMBtu,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Electricity,var opex,lin,2022 $/MWh,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92
Reformer Catalyst,var opex,lin,2022 $/m3,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14,17515.14
